NombreProceso,NombreGrupo,Fecha,total_ejecucionesFecha,total_mipsFecha
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-06,66161,1.0986296505985162
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-19,61636,2.1660514326615035
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-19,10,0.0015071011048736432
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-18,10,0.0015369583253917508
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-18,64026,1.2356040782334063
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-17,10,0.0012821704509285313
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-17,61756,1.192505258657687
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-16,62191,1.1449442399193759
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-16,10,0.0014131635289982777
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-15,10,0.0013252818987940374
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-15,61433,1.0820030908795342
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-14,11,0.0012764900677796457
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-14,53214,0.9623242875970169
*LIBRARY/MAINTENANCE,OPERACION,2024-04-13,1,0.0003536860053198431
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-12,10,0.0016265769322613526
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-11,66678,1.2538076875770374
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-11,10,0.0017184958595796765
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-10,62893,1.2106350856141297
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-08,63891,1.0990600921943467
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-07,11,0.0016431486285552078
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-07,50349,0.9702524280899468
*LIBRARY/MAINTENANCE,OPERACION,2024-04-06,1,0.00035875609937008774
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-06,9,0.0017067751791980928
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-06,57663,1.0389578828538846
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-05,10,0.0015398063411854064
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-04,10,0.0015226869495466176
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-04,64441,1.2398297043039501
*LIBRARY/MAINTENANCE,MONITOREO,2024-04-03,10,0.0013913183089546315
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-03,62002,1.191955795039264
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-04-02,61017,1.1743276570187258
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-30,57257,0.9686901975364568
*LIBRARY/MAINTENANCE,OPERACION,2024-03-30,1,0.00033772459812462857
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-29,49474,1.9006280187793845
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-29,10,0.0012476969410745533
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-25,10,0.0011426333254778171
*LIBRARY/MAINTENANCE,MONITOREO,2024-08-03,9,0.0013966231295812763
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-08-03,55341,1.2433272085344858
*LIBRARY/MAINTENANCE,OPERACION,2024-08-03,1,0.0003264890193342716
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-23,59237,1.0884921227325643
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-21,10,0.001661081738992184
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-21,63064,1.250622400989937
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-20,9,0.0014040874347108026
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-19,11,0.001307567866495035
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-19,63023,1.1579977916923752
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-17,52529,0.9315765613933589
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-15,10,0.0013906610745407103
*LIBRARY/MAINTENANCE,OPERACION,2024-03-16,1,0.0003313869805618228
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-16,9,0.0014316130379033348
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-16,54899,0.9759938714455714
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-14,9,1.790181356012302e-05
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-14,63892,1.2056268967862909
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-13,66667,1.1863004963371377
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-13,11,0.0012280581508490685
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-12,10,0.0011575306388600176
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-12,62244,1.1217233656536238
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-11,10,0.0011277516605340437
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-11,64247,1.0671084220834524
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-21,66040,1.2321630022718302
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-05-22,65450,1.4504357777132761
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-10,11,0.0011238239024889468
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-10,52869,0.9233542146095723
*LIBRARY/MAINTENANCE,OPERACION,2024-03-09,1,0.00033867915286865603
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-08,10,0.001374198917315842
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-07,61906,1.1752836357706848
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-06,10,0.001194726977000238
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-06,63941,1.1614814001095966
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-05,10,0.0012028954618589654
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-05,61871,1.1083349842435875
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-04,61470,1.054702762606596
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-04,10,0.0011347152156339169
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-03,11,0.0014145405915798259
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-03,51133,0.9025478317993262
*LIBRARY/MAINTENANCE,OPERACION,2024-03-02,1,0.0003354399261143331
*LIBRARY/MAINTENANCE,MONITOREO,2024-03-02,9,0.0014709532121080103
*LIBRARY/MAINTENANCE,UNISYS_UNASSIGNED,2024-03-02,55310,0.9824829502438845
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-29,10,0.001361930541589324
*LIBRARY/MAINTENANCE,MONITOREO,2024-02-28,10,0.0011496751227698238
